Abbotsford Crescent  	 tuesday-2
Mentone Gardens  	 tuesday-2
Mentone Terrace  	 tuesday-2
Merchiston Avenue  	 tuesday-2
Merchiston Bank Avenue  	 tuesday-2
Merchiston Bank Gardens  	 tuesday-2
Merchiston Crescent  	 tuesday-2
Merchiston Gardens  	 tuesday-2
Merchiston Mews  	 tuesday-1
Merchiston Park  	 tuesday-2
Merchiston Place  	 tuesday-2
Methvin Walk  	 friday-1
Michaelmas Grove  	 thursday-2
Mid Gillsland Road  	 tuesday-2
Mid Gogarloch Syke  	 thursday-2
Mid Liberton  	 thursday-2
Mid Steil  	 tuesday-1
Mid Terrace  	 thursday-1
Middle Norton  	 thursday-1
Middleby Street  	 tuesday-2
Middleknowe  	 wednesday-1
Middlepark  	 wednesday-1
Middleshot  	 wednesday-1
Middleton Avenue  	 wednesday-1a
Midmar Avenue  	 tuesday-1
Midmar Drive  	 tuesday-1
Midmar Gardens  	 tuesday-1
Millar Crescent  	 tuesday-1
Millar Place  	 tuesday-1
Millar Place Lane  	 tuesday-1
Millbank  	 wednesday-1
Millerfield Place  	 tuesday-2
Milligan Drive  	 friday-1
Milligan Road  	 friday-1
Milligan Street  	 friday-1
Milnacre  	 wednesday-1
Milton Crescent  	 friday-2
Milton Drive  	 friday-2
Milton Farm Road  	 thursday-1
Milton Gardens North  	 friday-2
Milton Gardens South  	 friday-2
Milton Grove  	 friday-2
Milton Road  	 friday-2
Milton Road East  	 friday-2
Milton Road West  	 friday-2
Milton Terrace  	 friday-2
Mitchell Street  	 wednesday-1
Moat Drive  	 tuesday-2
Moat Place  	 tuesday-2
Moat Street  	 tuesday-2
Moat Terrace  	 tuesday-2
Moffat Way  	 friday-1
Moira Park  	 wednesday-2
Moira Terrace Lane  	 wednesday-1
Moncrieff Terrace  	 tuesday-1
Monkbarns Gardens  	 thursday-2
Montagu Terrace  	 tuesday-2
Montgomery Street  	 wednesday-2
Moodie Place  	 wednesday-1
Moodie Walk  	 wednesday-1
Moray Park Terrace  	 wednesday-2
Moray Place  	 wednesday-1
Moredun Dell  	 thursday-1
Moredun Dykes Road  	 thursday-1
Moredun Park Court  	 thursday-1
Moredun Park Drive  	 thursday-1
Moredun Park Gardens  	 thursday-1
Moredun Park Green  	 thursday-1
Moredun Park Grove  	 thursday-1
Moredun Park Loan  	 thursday-1
Moredun Park Road  	 thursday-1
Moredun Park Street  	 thursday-1
Moredun Park View  	 thursday-1
Moredun Park Way  	 thursday-1
Moredunvale Green  	 thursday-1
Moredunvale Grove  	 thursday-1
Moredunvale Loan  	 thursday-1
Moredunvale Park  	 thursday-1
Moredunvale Place  	 thursday-1
Moredunvale Road  	 thursday-1
Moredunvale View  	 thursday-1
Moredunvale Way  	 thursday-1
Morham Gait  	 tuesday-1
Morham Gardens  	 tuesday-1
Morham Lea  	 tuesday-1
Morham Park  	 tuesday-1
Morison Gardens  	 thursday-1
Morningside Court  	 tuesday-1
Morningside Drive  	 tuesday-1
Morningside Gardens  	 tuesday-1
Morningside Grove  	 tuesday-1
Morningside Park  	 tuesday-2
Morningside Place  	 tuesday-2
Morningside Road  	 tuesday-2
Morningside Terrace  	 tuesday-1
Morrison Crescent  	 tuesday-1
Mortonhall Gate  	 thursday-1
Mortonhall Park Avenue  	 thursday-2
Mortonhall Park Bank  	 thursday-2
Mortonhall Park Crescent  	 thursday-2
Mortonhall Park Drive  	 thursday-2
Mortonhall Park Gardens  	 thursday-2
Mortonhall Park Green  	 thursday-2
Mortonhall Park Grove  	 thursday-2
Mortonhall Park Loan  	 thursday-2
Mortonhall Park Terrace  	 thursday-2
Mortonhall Park View  	 thursday-2
Mortonhall Park Way  	 thursday-2
Mortonhall Road  	 tuesday-2
Morven Street  	 friday-1
Morvenside  	 wednesday-1
Morvenside Close  	 wednesday-1
Moston Terrace  	 tuesday-2
Mottram Road  	 tuesday-1
Moubray Grove  	 thursday-1
Mount Alvernia  	 thursday-2
Mount Lodge Place  	 friday-1
Mount Vernon Road  	 thursday-2
Mountcastle Bank  	 friday-2
Mountcastle Crescent  	 friday-2
Mountcastle Drive North  	 friday-2
Mountcastle Drive South  	 friday-2
Mountcastle Gardens  	 friday-2
Mountcastle Green  	 friday-2
Mountcastle Grove  	 friday-2
Mountcastle Loan  	 friday-2
Mountcastle Park  	 friday-1
Mountcastle Place  	 friday-2
Mountcastle Terrace  	 friday-2
Mounthooly Loan  	 tuesday-1
Muir Wood Crescent  	 wednesday-1
Muir Wood Drive  	 wednesday-1
Muir Wood Grove  	 wednesday-1
Muir Wood Place  	 wednesday-1
Muir Wood Road  	 wednesday-1
Muirdale Terrace  	 friday-2
Muirend Avenue  	 tuesday-2
Muirhouse Avenue  	 tuesday-1
Muirhouse Avenue North  	 tuesday-1
Muirhouse Bank  	 tuesday-1
Muirhouse Close  	 tuesday-1
Muirhouse Court  	 tuesday-1
Muirhouse Crescent  	 tuesday-1
Muirhouse Drive  	 tuesday-1
Muirhouse Gardens  	 tuesday-1
Muirhouse Green  	 tuesday-1
Muirhouse Loan  	 tuesday-1
Muirhouse Medway  	 tuesday-1
Muirhouse Park  	 tuesday-1
Muirhouse Parkway  	 tuesday-1
Muirhouse Place East  	 tuesday-1
Muirhouse Place West  	 tuesday-1
Muirhouse Terrace  	 tuesday-1
Muirhouse Way  	 tuesday-1
Munro Drive  	 wednesday-2
Murchie Crescent  	 friday-1
Murray Cottages  	 friday-1
Murrayburn Drive  	 wednesday-2
Murrayburn Gardens  	 wednesday-2
Murrayburn Green  	 wednesday-2
Murrayburn Grove  	 wednesday-2
Murrayburn Park  	 wednesday-2
Murrayfield Avenue  	 friday-2
Murrayfield Drive  	 friday-2
Murrayfield Gardens  	 friday-2
Murrayfield Place  	 friday-1
Murrayfield Road  	 friday-2
Myreside Court  	 tuesday-1
Myreside Road  	 tuesday-1
Myrtle Terrace  	 tuesday-1
Nantwich Drive  	 wednesday-2
Napier Loan  	 tuesday-1
Napier Road  	 tuesday-2
Nealands Road  	 friday-1
Neidpath Court  	 thursday-2
Nellfield  	 thursday-2
Nelson Place  	 wednesday-1
Nelson Street  	 wednesday-1
Nether Craigour  	 thursday-1
Nether Currie Crescent  	 wednesday-1
Nether Currie Place  	 wednesday-1
Nether Currie Road  	 wednesday-1
Nether Lennie  	 thursday-2
Nether Liberton Court  	 thursday-2
Nether Liberton Lane  	 thursday-2
Netherbank  	 thursday-2
Netherbank View  	 thursday-2
Netherby Road  	 tuesday-2
New Broompark  	 tuesday-2
New Broughton  	 wednesday-1
New Lairdship Place  	 thursday-2
New Lane  	 wednesday-1
New Mart Road  	 tuesday-2
New Mart Square  	 tuesday-2
New Orchardfield  	 wednesday-1
New Swanston  	 wednesday-2
New Tower Place  	 friday-1
Newbattle Terrace  	 tuesday-2
Newbyth Road  	 wednesday-1
Newcraighall Drive  	 wednesday-1a
Newcraighall Road  	 wednesday-1a
Newhalls Road  	 thursday-1
Newhaven Main Street  	 wednesday-1
Newhaven Place  	 wednesday-1
Newhaven Road  	 wednesday-1
Newlands Park  	 wednesday-1
Newliston Road  	 thursday-1
Newmains Farm Lane  	 thursday-1
Newmains Road  	 thursday-1
Newmills Avenue  	 wednesday-1
Newmills Crescent  	 wednesday-1
Newmills Grove  	 wednesday-1
Newmills Road  	 wednesday-1
Newtoft Street  	 thursday-1
Nichollfield  	 wednesday-1
Nicolson Street  	 friday-1
Niddrie Cottages  	 wednesday-1a
Niddrie Farm Grove  	 friday-1
Niddrie House Avenue  	 friday-1
Niddrie House Drive  	 friday-1
Niddrie House Gardens  	 friday-1
Niddrie House Park  	 friday-1
Niddrie House Square  	 friday-1
Niddrie Mains Court  	 friday-1
Niddrie Mains Drive  	 friday-1
Niddrie Mains Road  	 friday-1
Niddrie Mains Terrace  	 friday-1
Niddrie Marischal Crescent  	 friday-1
Niddrie Marischal Drive  	 friday-1
Niddrie Marischal Gardens  	 friday-1
Niddrie Marischal Green  	 friday-1
Niddrie Marischal Grove  	 friday-1
Niddrie Marischal Loan  	 friday-1
Niddrie Marischal Place  	 friday-1
Niddrie Marischal Road  	 friday-1
Niddrie Marischal Street  	 friday-1
Niddrie Mill Avenue  	 friday-1
Niddrie Mill Crescent  	 friday-1
Niddrie Mill Drive  	 friday-1
Niddrie Mill Grove  	 friday-1
Niddrie Mill Place  	 friday-1
Niddrie Mill Terrace  	 friday-1
Niddry Street  	 thursday-1
Nigel Loan  	 thursday-2
Nile Grove  	 tuesday-2
Nisbett Drive  	 wednesday-1
Nisbett Walk  	 wednesday-1
Noble Place  	 wednesday-1
North Bughtlin Bank  	 thursday-2
North Bughtlin Brae  	 thursday-2
North Bughtlin Gate  	 thursday-2
North Bughtlin Neuk  	 thursday-2
North Bughtlin Place  	 thursday-1
North Bughtlinfield  	 thursday-2
North Bughtlinrig  	 thursday-2
North Bughtlinside  	 thursday-2
North Cairntow  	 friday-1
North Castle Street  	 wednesday-1
North East Circus Place  	 wednesday-1
North Fort Street  	 wednesday-1
North Greens  	 friday-1
North Gyle Avenue  	 thursday-2
North Gyle Drive  	 thursday-2
North Gyle Farm Court  	 thursday-2
North Gyle Farm Lane  	 thursday-2
North Gyle Grove  	 thursday-2
North Gyle Loan  	 thursday-2
North Gyle Park  	 thursday-2
North Gyle Road  	 thursday-2
North Gyle Terrace  	 thursday-2
North Hillhousefield  	 wednesday-1
North Leith Sands  	 wednesday-1
North Meggetland  	 wednesday-2
North Park Terrace  	 tuesday-2
North Peffer Place  	 friday-1
North Platt Crescent  	 thursday-1
North Platt Gardens  	 thursday-1
North Street  	 thursday-1
North Werber Park  	 tuesday-1
North Werber Place  	 tuesday-1
North West Circus Place  	 wednesday-1
Northfield Circus  	 friday-2
Northfield Crescent  	 friday-2
Northfield Drive  	 friday-2
Northfield Farm Avenue  	 friday-2
Northfield Farm Road  	 friday-2
Northfield Gardens  	 friday-1
Northfield Grove  	 friday-2
Northfield Park  	 friday-2
Northfield Park Grove  	 friday-1
Northfield Road  	 friday-2
Northfield Square  	 friday-1
Northfield Terrace  	 friday-2
Northlawn Terrace  	 friday-1
Northumberland Place  	 wednesday-1
Northumberland Place Lane  	 wednesday-1
Northumberland Street  	 wednesday-1
Northumberland Street North East Lane  	 wednesday-1
Northumberland Street North West Lane  	 wednesday-1
Northumberland Street South East Lane  	 wednesday-1
Northumberland Street South West Lane  	 wednesday-1
Norton Mains  	 thursday-1
Norton Park  	 wednesday-1
O'Donnel Road  	 wednesday-1
O'Donnel Street  	 wednesday-1
Oak Lane  	 friday-1
Oakfield Place  	 friday-1
Oaklands Square  	 thursday-2
Oakville Terrace  	 wednesday-1
Oakwood Court  	 friday-1
Observatory Green  	 tuesday-2
Observatory Road  	 tuesday-2
Ochil Court  	 thursday-1
Ochiltree Gardens  	 friday-1
Ogilvie Terrace  	 tuesday-2
Old Burdiehouse Road  	 thursday-1
Old Farm Avenue  	 wednesday-2
Old Farm Place  	 wednesday-2
Old Kirk Road  	 friday-1
Old Liston Road  	 thursday-1
Old Mill Lane  	 thursday-1a
Old Newmills Road  	 wednesday-1
Old Quarry Road  	 thursday-1
Oliphant Lane  	 tuesday-1
Oliver Close  	 tuesday-1
Orchard Bank  	 friday-2
Orchard Brae  	 friday-2
Orchard Brae Avenue  	 friday-2
Orchard Brae Gardens  	 friday-2
Orchard Brae Gardens West  	 friday-2
Orchard Brae West  	 friday-2
Orchard Crescent  	 friday-2
Orchard Drive  	 friday-2
Orchard Grove  	 friday-2
Orchard Place  	 friday-2
Orchard Road  	 friday-2
Orchard Road South  	 friday-2
Orchard Terrace  	 friday-2
Orchard Toll  	 friday-2
Orchardfield Avenue  	 friday-1
Orchardhead Loan  	 thursday-2
Orchardhead Road  	 thursday-2
Ormelie Terrace  	 friday-2
Ormidale Terrace  	 friday-2
Orrok Park  	 thursday-2
Orwell Place  	 tuesday-2
Orwell Terrace  	 tuesday-2
Osborne Terrace  	 tuesday-2
Ostler Loan  	 wednesday-1a
Oswald Court  	 tuesday-2
Oswald Road  	 tuesday-2
Oswald Terrace  	 friday-1
Otterburn Park  	 tuesday-2
Overton Farm Road  	 thursday-1
Owen View  	 tuesday-1
Oxford Terrace  	 tuesday-1
Oxgangs Avenue  	 tuesday-1
Oxgangs Bank  	 tuesday-1
Oxgangs Brae  	 tuesday-1
Oxgangs Crescent  	 tuesday-1
Oxgangs Drive  	 tuesday-1
Oxgangs Farm Avenue  	 wednesday-2
Oxgangs Farm Drive  	 wednesday-2
Oxgangs Farm Gardens  	 wednesday-2
Oxgangs Farm Grove  	 wednesday-2
Oxgangs Farm Loan  	 wednesday-2
Oxgangs Farm Terrace  	 wednesday-2
Oxgangs Gardens  	 tuesday-1
Oxgangs Green  	 tuesday-1
Oxgangs Hill  	 tuesday-1
Oxgangs Loan  	 tuesday-1
Oxgangs Medway  	 tuesday-1
Oxgangs Park  	 tuesday-1
Oxgangs Path  	 tuesday-1
Oxgangs Path East  	 tuesday-1
Oxgangs Place  	 tuesday-1
Oxgangs Rise  	 tuesday-1
Oxgangs Road  	 tuesday-1
Oxgangs Road North  	 tuesday-1
Oxgangs Row  	 tuesday-1
Oxgangs Street  	 tuesday-1
Oxgangs Terrace  	 tuesday-1
Oxgangs View  	 tuesday-1
Packard Street  	 thursday-1
Packer Place  	 friday-1
Packer Road  	 friday-1
Paisley Avenue  	 wednesday-2
Paisley Crescent  	 wednesday-2
Paisley Drive  	 wednesday-2
Paisley Gardens  	 wednesday-2
Paisley Grove  	 wednesday-2
Paisley Terrace  	 wednesday-2
Palmer Place  	 wednesday-1
Palmer Road  	 wednesday-1
Palmerston Place  	 tuesday-1
Palmerston Place Lane  	 tuesday-1
Palmerston Road  	 tuesday-2
Pape's Cottages  	 friday-1
Park Avenue  	 friday-2
Park Crescent  	 thursday-2
Park Gardens  	 thursday-2
Park Grove  	 thursday-2
Park Place  	 wednesday-1
Park Road  	 wednesday-1
Park Terrace  	 wednesday-1a
Park View  	 wednesday-1a
Parker Avenue  	 wednesday-2
Parker Terrace  	 wednesday-2
Parkgrove Avenue  	 friday-1
Parkgrove Bank  	 friday-1
Parkgrove Crescent  	 friday-1
Parkgrove Drive  	 friday-1
Parkgrove Gardens  	 friday-1
Parkgrove Green  	 friday-1
Parkgrove Loan  	 friday-1
Parkgrove Neuk  	 friday-1
Parkgrove Path  	 friday-1
Parkgrove Place  	 friday-1
Parkgrove Road  	 friday-1
Parkgrove Row  	 friday-1
Parkgrove Street  	 friday-1
Parkgrove Terrace  	 friday-1
Parkgrove View  	 friday-1
Parkhead Avenue  	 wednesday-2
Parkhead Crescent  	 wednesday-2
Parkhead Drive  	 wednesday-2
Parkhead Gardens  	 wednesday-2
Parkhead Grove  	 wednesday-2
Parkhead Loan  	 wednesday-2
Parkhead Place  	 wednesday-2
Parkhead Street  	 wednesday-2
Parkhead Terrace  	 wednesday-2
Parkhead View  	 tuesday-1
Parkside  	 thursday-1
Parkside Terrace  	 friday-1
Parkvale Place  	 wednesday-1
Parliament Loan  	 thursday-1
Parliament Way  	 thursday-1
Parrotshot  	 friday-1
Paterson Place  	 friday-1
Path Brae  	 thursday-1
Paties Road  	 wednesday-2
Paton Place  	 wednesday-1a
Pavilion Crescent  	 thursday-2
Paxton Wynd  	 wednesday-1a
Peacocktail Close  	 wednesday-1a
Pearce Avenue  	 friday-1
Pearce Grove  	 friday-1
Pearce Road  	 friday-1
Peatville Gardens  	 wednesday-2
Peatville Terrace  	 wednesday-2
Peebles Terrace  	 tuesday-1
Peel Terrace  	 wednesday-1
Peffer Place  	 friday-1
Peffermill Road  	 friday-1
Peggy's Mill Road  	 friday-1
Pembroke Place  	 tuesday-1
Peniel Road  	 thursday-1
Pennywell Cottages  	 tuesday-1
Pennywell Gardens  	 tuesday-1
Pennywell Grove  	 tuesday-1
Pennywell Medway  	 tuesday-1
Pennywell Place  	 tuesday-1
Pennywell Road  	 tuesday-1
Pennywell Villas  	 tuesday-1
Pentland Avenue  	 wednesday-1
Pentland Crescent  	 tuesday-1
Pentland Drive  	 tuesday-1
Pentland Gardens  	 tuesday-1
Pentland Grove  	 tuesday-1
Pentland Place  	 wednesday-1
Pentland Road  	 wednesday-1
Pentland Terrace  	 tuesday-1
Pentland View Road  	 thursday-1
Pentland Villas  	 wednesday-1
Peveril Terrace  	 thursday-2
Philip Terrace  	 thursday-2
Pier Place  	 wednesday-1
Piersfield Grove  	 wednesday-2
Piersfield Place  	 wednesday-2
Piersfield Terrace  	 wednesday-2
Piershill Place  	 wednesday-1
Piershill Terrace  	 wednesday-2
Pikes Pool Drive  	 thursday-1
Pillans Square  	 wednesday-1
Pilmuir Grove  	 wednesday-1
Pilrig Cottages  	 wednesday-1
Pilrig Gardens  	 wednesday-1
Pilrig Heights  	 wednesday-1
Pilrig House Close  	 wednesday-1
Pilrig Place  	 wednesday-1
Pilrig Street  	 wednesday-1
Pilton Crescent  	 tuesday-2
Pilton Gardens  	 tuesday-2
Pilton Loan  	 tuesday-1
Pilton Park  	 tuesday-2
Pilton Place  	 tuesday-1
Pincott Drive  	 wednesday-1
Pinegrove Gardens  	 thursday-2
Pinetum Lane  	 thursday-2
Pinkhill  	 friday-1
Pinkhill Park 8-  	 friday-2
Pipe Street  	 friday-2
Pirniefield Bank  	 wednesday-1
Pirniefield Gardens  	 wednesday-1
Pirniefield Grove  	 wednesday-1
Pirniefield Place  	 wednesday-1
Pirniefield Terrace  	 wednesday-1
Pitcairn Grove  	 tuesday-1
Pitsligo Road  	 tuesday-2
Pittville Street  	 friday-2
Pittville Street Lane  	 friday-1
Plewlandcroft  	 thursday-1
Plewlands Avenue  	 tuesday-1
Plewlands Gardens  	 tuesday-1
Plewlands Place  	 thursday-1
Plewlands Terrace  	 tuesday-1
Pleydell Place  	 thursday-2
Pollard Glebe  	 thursday-2
Polwarth Gardens  	 tuesday-2
Polwarth Grove  	 tuesday-2
Polwarth Park  	 tuesday-2
Polwarth Place  	 tuesday-2
Polwarth Terrace  	 tuesday-2
Ponton Street  	 tuesday-1
Poplar Lane  	 wednesday-1
Portland Street  	 wednesday-1
Portmore Drive  	 thursday-2
Portobello High Street  	 friday-2
Powderhall Rigg  	 wednesday-1
Powderhall Road  	 wednesday-1
Prestonfield Avenue  	 friday-1
Prestonfield Bank  	 friday-1
Prestonfield Crescent  	 friday-1
Prestonfield Gardens  	 friday-1
Prestonfield Road  	 friday-1
Prestonfield Terrace  	 friday-1
Priestfield Avenue  	 friday-1
Priestfield Crescent  	 friday-1
Priestfield Gardens  	 friday-1
Priestfield Grove  	 friday-1
Priestfield Road  	 friday-1
Priestfield Road North  	 friday-1
Priesthill Place  	 thursday-2
Priesthill Street  	 thursday-2
Primrose Bank Road  	 tuesday-2
Primrose Drive  	 friday-1
Primrose Gardens  	 thursday-1
Primrose Terrace  	 tuesday-1
Princes Street  	 tuesday-1
Princess Mary Road  	 friday-1
Pringle Drive  	 friday-1
Pringle Street  	 friday-1
Pringle Terrace  	 friday-1
Printonan Crescent  	 thursday-2
Priory Grove  	 thursday-1
Promenade  	 friday-1
Prospect Bank Crescent  	 wednesday-1
Prospect Bank Gardens  	 wednesday-1
Prospect Bank Grove  	 wednesday-1
Prospect Bank Place  	 wednesday-1
Prospect Bank Road  	 wednesday-1
Prospect Bank Terrace  	 wednesday-1
Provost Haugh  	 wednesday-1
Provost Milne Grove  	 thursday-1
Quality Street  	 friday-1
Quality Street Lane  	 friday-1
Quarry Cottages  	 wednesday-1a
Quarry Howe  	 wednesday-1
Quarrybank  	 wednesday-1
Quarrybank Close  	 wednesday-1
Quarrybank Court  	 wednesday-1
Quarrybank End  	 wednesday-1
Quarrypark Drive  	 thursday-1
Quarryview  	 wednesday-1
Queen Charlotte Lane  	 wednesday-1
Queen Charlotte Street  	 wednesday-1
Queen Margaret Close  	 tuesday-1
Queen Margaret Drive  	 thursday-1
Queen Street  	 monday
Queen's Avenue  	 friday-2
Queen's Avenue South  	 friday-2
Queen's Bay Crescent  	 friday-2
Queen's Crescent  	 wednesday-1
Queen's Gardens  	 friday-2
Queen's Park Avenue  	 wednesday-2
Queen's Road  	 friday-2
Queen's Walk  	 friday-1
Queensferry Street Lane  	 tuesday-1
Queensferry Terrace  	 friday-2
Quilts Wynd  	 wednesday-1
Quintinshill Place  	 wednesday-1
Rackstraw Place  	 friday-1
Rae's Court  	 thursday-2
Raeburn Street  	 tuesday-1
Raith Drive  	 friday-1
Raith Gait  	 friday-1
Raith Gardens  	 friday-1
Raith Gate  	 friday-1
Ramslack Street  	 wednesday-1
Randolph Crescent  	 wednesday-1
Randolph Lane  	 tuesday-2
Randolph Place  	 tuesday-1
Rankin Avenue  	 tuesday-2
Rankin Drive  	 tuesday-2
Rankin Road  	 tuesday-2
Rannoch Grove  	 friday-1
Rannoch Place  	 friday-1
Rannoch Road  	 friday-1
Rannoch Terrace  	 friday-1
Ransfield Road  	 thursday-1
Ransome Gardens  	 friday-1
Ratcliffe Terrace  	 tuesday-2
Rathbone Place  	 friday-1
Ratho Mains  	 thursday-1
Ratho Park Road  	 thursday-1
Rattray Crescent  	 tuesday-1
Rattray Drive  	 tuesday-1
Rattray Grove  	 tuesday-1
Rattray Loan  	 tuesday-1
Rattray Way  	 tuesday-1
Ravelrig Drive  	 wednesday-1
Ravelrig Gait  	 wednesday-1
Ravelrig Hill  	 wednesday-1
Ravelrig Park  	 wednesday-1
Ravelrig Road  	 wednesday-1
Ravelrig Wynd  	 wednesday-1
Ravelston Dykes  	 friday-2
Ravelston Dykes Lane  	 friday-2
Ravelston Dykes Road  	 friday-1
Ravelston House Grove  	 friday-2
Ravelston House Loan  	 friday-2
Ravelston House Park  	 friday-2
Ravelston House Road  	 friday-2
Ravelston Park  	 friday-2
Ravelston Place  	 friday-2
Ravelston Rise  	 friday-2
Ravelston Terrace  	 friday-2
Ravenscroft Gardens  	 thursday-1
Ravenscroft Place  	 thursday-1
Ravenscroft Street  	 thursday-1
Ravenswood Avenue  	 friday-1
Redbraes Grove  	 wednesday-1
Redbraes Place  	 wednesday-1
Redford Avenue  	 wednesday-2
Redford Bank  	 wednesday-2
Redford Crescent  	 wednesday-2
Redford Drive  	 wednesday-2
Redford Gardens  	 wednesday-2
Redford Grove  	 wednesday-2
Redford Loan  	 wednesday-2
Redford Neuk  	 wednesday-2
Redford Place  	 wednesday-2
Redford Terrace  	 wednesday-2
Redford Walk  	 wednesday-2
Redgauntlet Terrace  	 friday-1
Redhall Avenue  	 wednesday-2
Redhall Bank Road  	 tuesday-2
Redhall Crescent  	 wednesday-2
Redhall Drive  	 wednesday-2
Redhall Gardens  	 wednesday-2
Redhall Grove  	 wednesday-2
Redhall House Avenue  	 tuesday-2
Redhall House Close  	 tuesday-2
Redhall House Drive  	 tuesday-2
Redhall Place  	 wednesday-2
Redhall Road  	 wednesday-2
Redhall View  	 tuesday-2
Redsman Drive  	 friday-2
Redsman Place  	 friday-2
Redsman Street  	 friday-2
Redwing Wynd  	 thursday-2
Regent Road  	 wednesday-1
Regent Street  	 friday-1
Regent Street Lane  	 friday-1
Regent Terrace  	 wednesday-1
Regent Terrace Mews  	 wednesday-1
Regis Court  	 friday-1
Reid Terrace  	 tuesday-1
Reid's Court  	 thursday-1
Relugas Gardens  	 tuesday-2
Relugas Place  	 tuesday-2
Relugas Road  	 tuesday-2
Restalrig Avenue  	 wednesday-2
Restalrig Circus  	 wednesday-1
Restalrig Crescent  	 wednesday-1
Restalrig Drive  	 wednesday-2
Restalrig Gardens  	 wednesday-2
Restalrig Road  	 wednesday-1
Restalrig Square  	 wednesday-1
Restalrig Terrace  	 wednesday-1
Reynolds Road  	 tuesday-1
Riccarton Avenue  	 wednesday-1
Riccarton Crescent  	 wednesday-1
Riccarton Drive  	 wednesday-1
Riccarton Grove  	 wednesday-1
Riccarton Mains Road  	 wednesday-1
Richmond Terrace  	 tuesday-1
Riding Park  	 friday-1
Rintoul Place  	 tuesday-1
Riselaw Crescent  	 tuesday-1
Riselaw Place  	 tuesday-1
Riselaw Road  	 tuesday-1
Riselaw Terrace  	 tuesday-1
Riversdale Crescent  	 friday-2
Riversdale Grove  	 friday-2
Riversdale Road  	 friday-2
Riverside Road  	 friday-1
Robb's Loan  	 tuesday-2
Robb's Loan Grove  	 tuesday-2
Robert Burns Drive  	 thursday-2
Robin Place  	 friday-1
Rocheid Park  	 tuesday-2
Rochester Terrace  	 tuesday-2
Roddinglaw Road  	 thursday-1
Rodney Street  	 wednesday-1
Rona Avenue  	 thursday-2
Rose Lane  	 thursday-1
Rose Park  	 tuesday-2
Rosebank Cottages  	 tuesday-1
Rosebank Gardens  	 tuesday-1
Rosebank Grove  	 tuesday-2
Rosebank Road  	 tuesday-2
Rosebery Avenue  	 thursday-1
Rosebery Court  	 thursday-1
Rosebery Crescent  	 tuesday-1
Rosebery Crescent Lane  	 tuesday-1
Roseburn Avenue  	 tuesday-2
Roseburn Cliff  	 friday-1
Roseburn Crescent  	 tuesday-2
Roseburn Drive  	 tuesday-2
Roseburn Gardens  	 tuesday-1
Roseburn Maltings  	 tuesday-2
Roseburn Place  	 tuesday-2
Roseburn Street  	 tuesday-2
Rosefield Avenue  	 friday-1
Rosefield Avenue Lane  	 friday-1
Rosefield Place  	 friday-1
Rosefield Street  	 friday-1
Rosevale Place  	 wednesday-1
Roseville Gardens  	 tuesday-2
Ross Gardens  	 tuesday-2
Ross Place  	 tuesday-2
Ross Road  	 thursday-2
Rosshill Terrace  	 thursday-1
Rosslyn Crescent  	 wednesday-1
Rosslyn Terrace  	 wednesday-1
Rothesay Mews  	 tuesday-1
Rothesay Place  	 tuesday-1
Rothesay Terrace  	 tuesday-1
Roull Grove  	 friday-1
Roull Place  	 friday-1
Roull Road  	 friday-1
Rowallan Court  	 thursday-2
Rowantree Avenue  	 wednesday-1
Rowantree Grove  	 wednesday-1
Rowieston Drive  	 thursday-2
Royal Circus  	 wednesday-1
Royal Crescent  	 wednesday-1
Royal Terrace  	 wednesday-1
Royal Terrace Mews  	 wednesday-1
Royston Mains Avenue  	 tuesday-1
Royston Mains Crescent  	 tuesday-1
Royston Mains Gardens  	 tuesday-1
Royston Mains Green  	 tuesday-1
Royston Mains Place  	 tuesday-1
Royston Mains Road  	 tuesday-1
Royston Mains Street  	 tuesday-1
Russell Place  	 tuesday-2
Russell Road  	 tuesday-2
Rustic Cottages  	 wednesday-2
Rutherford Drive  	 thursday-2
Ruthven Place  	 friday-1
Ryehill Avenue  	 wednesday-1
Ryehill Gardens  	 wednesday-1
Ryehill Grove  	 wednesday-1
Ryehill Place  	 wednesday-1
Ryehill Terrace  	 wednesday-1
Saddle Tree Loan  	 friday-1
Salisbury Place  	 tuesday-2
Salisbury Road  	 wednesday-1
Salvesen Crescent  	 tuesday-1
Salvesen Gardens  	 tuesday-1
Salvesen Grove  	 tuesday-1
Salvesen Terrace  	 tuesday-1
Sandercombe Drive  	 thursday-1
Sandford Gardens  	 friday-2
Sandilands Road  	 friday-1
Sandilands View  	 friday-1
Sandstone Crescent  	 friday-1
Sassoon Grove  	 tuesday-1
Saughton Avenue  	 tuesday-1
Saughton Crescent  	 friday-2
Saughton Gardens  	 friday-2
Saughton Grove  	 friday-2
Saughton Loan  	 friday-2
Saughton Mains Avenue  	 thursday-2
Saughton Mains Bank  	 thursday-2
Saughton Mains Drive  	 thursday-2
Saughton Mains Gardens  	 thursday-2
Saughton Mains Grove  	 thursday-2
Saughton Mains Loan  	 thursday-2
Saughton Mains Park  	 thursday-2
Saughton Mains Place  	 thursday-2
Saughton Mains Terrace  	 thursday-2
Saughton Park  	 friday-2
Saughton Road North  	 friday-1
Saughtonhall Avenue  	 friday-2
Saughtonhall Avenue West  	 friday-2
Saughtonhall Circus  	 friday-2
Saughtonhall Crescent  	 friday-2
Saughtonhall Drive  	 friday-2
